P lentille (mW),P vert brut (uW),P vert (uW),T (°C),alpha (W/W2)
140,21.8,11.8,86,0.000602040816326531
143.5,13.5,3.5,90,0.00016996685646299
135.6,530,520,83,0.0282802968996093
140,575,565,83.1,0.0288265306122449
135.1,598,588,83.2,0.0322156299497973
134,576,566,83.3,0.0315214969926487
142.2,606,596,83.4,0.0294745421060648
138.4,616,606,83.5,0.03163737512112
130,480,470,83.7,0.027810650887574
116.4,338,328,84,0.0242085001358038
133.1,497,487,82.8,0.027489880393619
135.3,588,578,83,0.0315741919765499
145.2,676,666,83,0.0315893723106345
146.3,686,676,83,0.0315833391345137
145.2,685,675,83.2,0.0320162557202377
145.2,678,668,83.2,0.0316842352905463
138.6,574,564,83.4,0.0293597696195099
135.3,590,580,83.4,0.0316834452359843
136.4,616,606,83.4,0.0325719593054755
128.7,518,508,83.6,0.0306694945389584
129.25,530,520,83.6,0.0311273565316942
125.4,63,53,82,0.00337039495941536
126.5,64.6,54.6,82,0.00341202018466153
134.2,13,3,80,0.000166577455185112
134.2,10,0,80,0
133.1,345,335,84,0.0189098766568015
133.1,339,329,84,0.0185711922987693
140.8,410,400,83.8,0.0201769111570248
140.47,408,398,83.8,0.0201704648555775
141.9,20.1,10.1,86,0.000501598908600236
140.8,19,9,86,0.000453980501033058
143,21,11,87,0.000537923614846692
140.8,12,2,90,0.000100884555785124
140.8,10,0,90,0
136.4,12.8,2.8,90,0.000150497501741471
135.3,550,540,82.5,0.0294983800472957
133.1,505,495,82.5,0.027941459537662
130.9,459,449,82.5,0.0262039672456245
129.8,440,430,82.5,0.0255222565948324
128.7,405,395,82.5,0.0238473431946625
132,496,486,82.8,0.0278925619834711
133.65,502,492,82.8,0.0275440105842899
133.1,488,478,82.8,0.0269818538565706
133.1,485,475,82.8,0.0268125116775544
133.98,483,473,82.8,0.0263500348433252
129.8,602,592,83.3,0.0351376183817227
131.56,614,604,83.3,0.0348970896381898
133.87,630,620,83.3,0.0345959421894887
135.08,643,633,83.3,0.0346913823931665
133.1,12.5,2.5,85,0.000141118482513444
133.1,13.5,3.5,85,0.000197565875518822
133.1,11,1,85,5.64473930053777E-05
133.76,149,139,84.2,0.0077689491712644
134.75,151.3,141.3,84.2,0.00778188151631035
140.25,315,305,82.3,0.0155057971981533
140.25,313,303,82.3,0.0154041198394769
140.8,310,300,82.3,0.0151326833677686
139.7,12,2,78,0.000102479543802063
141.9,11,1,78,4.96632582772511E-05
140.8,660,650,83.4,0.0327874806301653
141.13,655,645,83.4,0.0323832946602322
140.8,655,645,83.4,0.0325352692407025
143,675,665,83.4,0.0325199276248227
141.9,655,645,83.4,0.032032801588827
139.7,634,624,83.4,0.0319736176662436
136.4,609,599,83.4,0.0321957155511219
