P lentille (mW),P vert (uW),T (°C),alpha (W/W2)
140,21.8,86,0.00111224489795918
143.5,13.5,90,0.000655586446357246
135.6,530,83,0.0288241487630633
140,575,83.1,0.0293367346938775
135.1,598,83.2,0.0327635148128891
134,576,83.3,0.032078413900646
142.2,606,83.4,0.0299690814031465
138.4,616,83.5,0.0321594440175081
130,480,83.7,0.0284023668639053
116.4,338,84,0.0249465641643344
,,,
133.1,497,82.8,0.0280543543236727
135.3,588,83,0.032120458273722
145.2,676,83,0.0320636872101936
146.3,686,83,0.0320505482933083
145.2,685,83.2,0.0324905706197968
145.2,678,83.2,0.0321585501901054
138.6,574,83.4,0.0298803329106359
135.3,590,83.4,0.0322297115331564
136.4,616,83.4,0.0331094503831236
128.7,518,83.6,0.0312732247464182
129.25,530,83.6,0.031725959541919
125.4,63,82,0.00400631853666354
126.5,64.6,82,0.00403693230639441
134.2,13,80,0.000721835639135485
134.2,10,80,0.000555258183950373
133.1,345,84,0.0194743505868553
133.1,339,84,0.0191356662288231
140.8,410,83.8,0.0206813339359504
140.47,408,83.8,0.0206772604549639
141.9,20.1,86,0.000998231491372747
140.8,19,86,0.000958403279958678
143,21,87,0.00102694508288914
140.8,12,90,0.000605307334710744
140.8,10,90,0.00050442277892562
136.4,12.8,90,0.000687988579389582
135.3,550,82.5,0.0300446463444679
133.1,505,82.5,0.0285059334677158
130.9,459,82.5,0.0267875745339458
129.8,440,82.5,0.026115797445875
128.7,405,82.5,0.0244510734021224
132,496,82.8,0.0284664830119376
133.65,502,82.8,0.0281038481977917
133.1,488,82.8,0.0275463277866243
133.1,485,82.8,0.0273769856076082
133.98,483,82.8,0.0269071180324018
129.8,602,83.3,0.0357311592327654
131.56,614,83.3,0.035474856022928
133.87,630,83.3,0.0351539412570611
135.08,643,83.3,0.0352394295083824
133.1,12.5,85,0.000705592412567222
133.1,13.5,85,0.0007620398055726
133.1,11,85,0.000620921323059155
133.76,149,84.2,0.00832786637783018
134.75,151.3,84.2,0.00833261623084046
140.25,315,82.3,0.0160141839915354
140.25,313,82.3,0.0159125066328589
140.8,310,82.3,0.0156371061466942
139.7,12,78,0.000614877262812377
141.9,11,78,0.000546295841049762
140.8,660,83.4,0.0332919034090909
141.13,655,83.4,0.0328853612441118
140.8,655,83.4,0.0330396920196281
143,675,83.4,0.0330089490928652
141.9,655,83.4,0.0325294341715995
139.7,634,83.4,0.0324860153852539
136.4,609,83.4,0.03273320662877
